 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:24:05.024  IAD SVG 0.533 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:24:26.024  IAD SVG 1.236 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:24:30.024  IAD SVG 0.406 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:24:38.024  IAD SVG 0.390 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:24:42.024  IAD SVG 0.344 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:24:46.024  IAD SVG 1.48 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:24:55.024  IAD SVG 0.719 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:25:01.025  IAD SVG 1.224 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:25:08.025  IAD SVG 0.751 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:25:12.025  IAD SVG 0.298 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:25:16.025  IAD SVG 0.282 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:25:24.025  SVG NCE 0.189 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:25:28.025  SVG NCE 0.172 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:25:30.025  BCN MEX 0.173 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:25:31.025  BCN MEX 0.173 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:25:31.025  BCN MEX 0.173 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:25:31.025  BCN MEX 0.173 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:25:36.025  NCE SVG 0.185 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:25:40.025  SVG RIX 0.318 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:25:44.025  SVG RIX 0.422 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:25:48.025  SVG RIX 0.297 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:25:56.025  SVG RIX 0.321 >
 Text: <!FNR Time: SK HSEAN224 2020-10-28 19:26:00.026  SVG RIX 0.285 >
